"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Entrez"
"226277_at",1.12011615654298,7.55078873997514,10.697416647487,7.08757369366644e-18,3.678719895381e-15,30.2016087783906,"CERT1","10087"
"204015_s_at",2.71235741440461,7.40477699523121,10.5858650758622,1.21540772906533e-17,6.15266401513514e-15,29.6741923872802,"DUSP4","1846"
"236335_at",2.74882973442704,3.74008389447186,10.5581165418993,1.3900446068216e-17,6.95090110464791e-15,29.5428913014519,"GUCY1A2","2977"
"214243_s_at",4.59226945462115,5.33198193737148,10.5506060424765,1.44149477638268e-17,7.12133154346934e-15,29.5073459591946,"SERHL2","253190"
"1558996_at",1.67056262138547,5.38972596878411,10.5335925070699,1.56521421410628e-17,7.6404813851445e-15,29.4268141924149,"FOXP1","27086"
"223547_at",1.17000554955531,5.13960058216218,10.5105197332874,1.75016963274914e-17,8.2977594230533e-15,29.3175777914579,"JKAMP","51528"
"218204_s_at",1.33945974541071,7.61375620486515,10.5092956512479,1.76057230954452e-17,8.2977594230533e-15,29.3117817027968,"FYCO1","79443"
"223287_s_at",1.58359442192531,9.35168287553427,10.4986128397886,1.85402925091869e-17,8.63893356871249e-15,29.2611948456104,"FOXP1","27086"
"224838_at",1.56204603150924,9.87639170447162,10.4913787837398,1.92012252577803e-17,8.84637124123623e-15,29.2269357900192,"FOXP1","27086"
"221563_at",2.24669554466784,7.77916667471691,10.4697951066388,2.13168576625902e-17,9.7119603510761e-15,29.1247042707174,"DUSP10","11221"
"225431_x_at",-2.10890765179667,8.53851928910712,-10.4614054191699,2.22009060210743e-17,1.0003581873496e-14,29.0849601422399,"PM20D2","135293"
"226575_at",-2.694661389616,7.95200740147165,-10.4554541732631,2.28501922428673e-17,1.0184231333984e-14,29.0567654590061,"ZNF462","58499"
"202431_s_at",-2.48584791341274,10.3927858241287,-10.4454247083398,2.39877564329906e-17,1.0576279191165e-14,29.0092458729475,"MYC","4609"
"225327_at",1.79459244828907,8.84567157176132,10.4355875935312,2.51586112698803e-17,1.09408525421896e-14,28.962632930966,"ATOSA","56204"
"211657_at",6.01268478262095,5.69419562925792,10.4340373331511,2.53482828872308e-17,1.09408525421896e-14,28.9552866348977,"CEACAM6","4680"
"219327_s_at",2.7005677984634,5.02158058323485,10.4074180731973,2.88379911757791e-17,1.23174269809547e-14,28.8291268484888,"GPRC5C","55890"
"203757_s_at",6.13077836056614,3.47970828947172,10.4005617320987,2.98122944920869e-17,1.26023023026137e-14,28.7966263996416,"CEACAM6","4680"
"218665_at",1.70865961609068,6.20213625471154,10.3968500887754,3.03534173118826e-17,1.27001175862901e-14,28.7790315461823,"FZD4","8322"
"224990_at",1.91369725977904,9.75997003194573,10.3941215996487,3.07574712212201e-17,1.27391853530799e-14,28.7660968781003,"SMIM14","201895"
"237395_at",5.14295493453867,4.19930565122704,10.3689843606927,3.47429787598321e-17,1.42460110106816e-14,28.6469153063657,"CYP4Z1","199974"
"228956_at",-4.30077943065048,4.51859862059139,-10.3525528678078,3.76238563561187e-17,1.51767610352755e-14,28.5689942889805,"UGT8","7368"
"222904_s_at",3.57054164422701,4.09246889188951,10.327148624956,4.25560356384209e-17,1.68733174368005e-14,28.4484993882709,"TMC5","79838"
"224837_at",1.47228532279317,9.70111774050995,10.3244025493998,4.31265495086506e-17,1.68733174368005e-14,28.4354727857416,"FOXP1","27086"
"215659_at",3.85700149230056,3.74395324674511,10.3240137631804,4.3207939002635e-17,1.68733174368005e-14,28.4336284679701,"GSDMB","55876"
"242103_at",2.18162682917775,4.28137738823224,10.2203518763315,7.14466986353579e-17,2.73794432789179e-14,27.9416536756172,"TMEM86A","144110"
"209049_s_at",1.21001747849285,9.31192687939648,10.1141508888884,1.1965395750392e-16,4.50118428760618e-14,27.4371966696367,"ZMYND8","23613"
"210056_at",2.13671778938313,4.14977722048825,10.1032591990849,1.2615472095125e-16,4.70258925262279e-14,27.3854382565642,"RND1","27289"
"217528_at",5.11717025291609,5.17370639508427,10.0959654901738,1.30704572024279e-16,4.82829754169689e-14,27.3507755803325,"CLCA2","9635"
